ADDR_LN_1,CITY,LATTD,LNGTD
583 COUNTY ROAD 158,HALLETTSVILLE,29.345657,-96.768495
7007 FM 531,HALLETTSVILLE,29.345699,-97.073392
8809 FM 318,HALLETTSVILLE,29.345888,-97.071015
59 COUNTY ROAD 16D,HALLETTSVILLE,29.346363,-96.805109
57 COUNTY ROAD 16D,HALLETTSVILLE,29.346404,-96.805044
57 COUNTY ROAD 16D,HALLETTSVILLE,29.346404,-96.805044
1787 COUNTY ROAD 378,HALLETTSVILLE,29.346743,-97.042745
227 COUNTY ROAD 158,HALLETTSVILLE,29.347282,-96.763495
225 COUNTY ROAD 158,HALLETTSVILLE,29.347296,-96.763452
6623 COUNTY ROAD 1,HALLETTSVILLE,29.347699,-96.924266
6819 US HIGHWAY 77 S,HALLETTSVILLE,29.348329,-96.968207
6819 US HIGHWAY 77 S,HALLETTSVILLE,29.348329,-96.968207
8604 FM 318,HALLETTSVILLE,29.348471,-97.067826
6609 COUNTY ROAD 1,HALLETTSVILLE,29.349052,-96.924363
8511 FM 318,HALLETTSVILLE,29.349649,-97.066368
4403 COUNTY ROAD 15,HALLETTSVILLE,29.350123,-96.845808
2840 COUNTY ROAD 390,HALLETTSVILLE,29.350626,-96.984854
6662 US HIGHWAY 77 S,HALLETTSVILLE,29.350631,-96.967985
2700 COUNTY ROAD 390,HALLETTSVILLE,29.350686,-96.992109
1861 COUNTY ROAD 387,HALLETTSVILLE,29.351108,-96.982166
2230 COUNTY ROAD 390,HALLETTSVILLE,29.351847,-96.995409
2883 COUNTY ROAD 16,HALLETTSVILLE,29.351983,-96.806732
5544 FM 2616,HALLETTSVILLE,29.352003,-96.904781
6559 US HIGHWAY 77 S,HALLETTSVILLE,29.3521,-96.967673
1926 COUNTY ROAD 1H,HALLETTSVILLE,29.353536,-96.940854
8204 FM 318,HALLETTSVILLE,29.353623,-97.061436
8204 FM 318,HALLETTSVILLE,29.353623,-97.061436
1025 COUNTY ROAD 152,HALLETTSVILLE,29.35383,-96.778617
1025 COUNTY ROAD 152,HALLETTSVILLE,29.35383,-96.778617
4898 FM 2616,HALLETTSVILLE,29.353925,-96.904812
